sum,tactic
6489,floss
17314,floss
-15075,floss
3746,floss
4079,floss
943,floss
5552,floss
-4995,floss
7344,floss
10410,floss
1571,floss
483,floss
18370,floss
5910,floss
4749,floss
-3132,floss
7298,floss
14034,floss
7135,floss
14034,floss
6897,floss
3859,floss
10610,floss
14182,floss
1324,floss
565,floss
1450,floss
-974,floss
493,floss
-223,floss
3549,floss
17419,floss
5466,floss
751,floss
5319,floss
384,floss
65,floss
2028,floss
269,floss
172,floss
17047,floss
8510,floss
10630,floss
6162,floss
18441,floss
24027,floss
13376,floss
9653,floss
48168,floss
-63010,floss
2036,floss
4226,floss
18631,floss
24082,floss
34060,floss
632,floss
630,floss
7595,floss
17047,floss
8510,floss
8630,floss
2455,floss
12567,floss
17228,floss
6040,floss
10598,floss
8811,floss
1329,floss
4649,floss
-499,floss
531,floss
-12248,floss
405,floss
981,floss
2047,floss
3332,floss
3209,floss
1057,floss
1036,floss
808,floss
247,floss
450,floss
864,floss
75,floss
0,floss
14887,floss
6609,floss
2618,floss
63,floss
482,floss
-113,floss
6949,floss
4156,floss
2681,floss
6429,floss
2681,floss
6429,floss
1694,floss
4125,floss
7961,floss
3060,floss
7788,floss
16,floss
2065,floss
9893,floss
226,floss
420,floss
656,floss
5882,floss
-2141,floss
1998,floss
3850,floss
4205,floss
5703,floss
1099,floss
5114,floss
648,floss
2170,floss
-478,floss
3383,floss
2980,floss
5207,floss
6112,floss
1045,floss
1081,floss
269,floss
1169,floss
637,floss
-1210,floss
5582,floss
4356,chunked-floss
684,chunked-floss
2235,chunked-floss
5841,chunked-floss
5429,chunked-floss
-10089,chunked-floss
1660,chunked-floss
13945,chunked-floss
13945,chunked-floss
1360,chunked-floss
9286,chunked-floss
4089,chunked-floss
925,chunked-floss
2440,chunked-floss
695,chunked-floss
1593,chunked-floss
9430,chunked-floss
-622,chunked-floss
-2278,chunked-floss
659,chunked-floss
476,chunked-floss
803,chunked-floss
484,chunked-floss
2199,chunked-floss
-1751,chunked-floss
5791,chunked-floss
9782,chunked-floss
1700,chunked-floss
3402,chunked-floss
335,chunked-floss
2782,chunked-floss
796,chunked-floss
892,chunked-floss
0,chunked-floss
1204,chunked-floss
13508,chunked-floss
244,chunked-floss
6049,chunked-floss
221,chunked-floss
2259,chunked-floss
2259,chunked-floss
2767,chunked-floss
4438,chunked-floss
3947,chunked-floss
3332,chunked-floss
2592,chunked-floss
11497,chunked-floss
5192,chunked-floss
7944,chunked-floss
7197,chunked-floss
4156,chunked-floss
698,chunked-floss
1068,chunked-floss
-3598,chunked-floss
505,deep-root-canal
2230,deep-root-canal
136,deep-root-canal
-18311,deep-root-canal
1035,deep-root-canal
219,deep-root-canal
448,deep-root-canal
2518,deep-root-canal
1470,deep-root-canal
171,deep-root-canal
826,deep-root-canal
107,deep-root-canal
2276,deep-root-canal
2814,deep-root-canal
194,deep-root-canal
219,deep-root-canal
89,deep-root-canal
-3012,deep-root-canal
-12,deep-root-canal
-69105,deep-root-canal
260,deep-root-canal
5651,deep-root-canal
6376,deep-root-canal
1539,deep-root-canal
4025,deep-root-canal
2165,deep-root-canal
2155,deep-root-canal
2274,deep-root-canal
1621,deep-root-canal
730,deep-root-canal
-70,deep-root-canal
514,deep-root-canal
118,deep-root-canal
178,deep-root-canal
29,deep-root-canal
-150,deep-root-canal
143,deep-root-canal
517,deep-root-canal
171,deep-root-canal
6575,deep-root-canal
371,deep-root-canal
409,deep-root-canal
3297,deep-root-canal
403,deep-root-canal
1919,deep-root-canal
101,deep-root-canal
-521,deep-root-canal
-60,deep-root-canal
973,deep-root-canal
59,deep-root-canal
-1017,deep-root-canal
71,deep-root-canal
0,deep-root-canal
426,deep-root-canal
1217,deep-root-canal
-4371,deep-root-canal
326,deep-root-canal
-1882,root-canal
133,root-canal
670,root-canal
6451,root-canal
1055,root-canal
210,root-canal
194,root-canal
260,root-canal
60,root-canal
1007,root-canal
887,root-canal
481,root-canal
576,root-canal
461,root-canal
-55,root-canal
541,root-canal
-177,root-canal
1541,root-canal
580,root-canal
22107,root-canal
328,root-canal
811,root-canal
1328,root-canal
1254,root-canal
1447,root-canal
-12,root-canal
67,root-canal
60,root-canal
221,root-canal
37,root-canal
242,root-canal
1201,root-canal
846,root-canal
311,root-canal
-67,root-canal
49,root-canal
-509,root-canal
1096,root-canal
2863,root-canal
529,root-canal
259,root-canal
24,root-canal
703,root-canal
1743,root-canal