bool,tactic-project
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
1,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
1,DR-Vibrant
0,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
1,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
1,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
1,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
1,FR-Vibrant
0,FR-Maintaining
0,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
1,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
1,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
0,DR-Obsolete
1,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
1,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
1,DR-Vibrant
0,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
1,FR-Vibrant
0,FR-Maintaining
0,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
1,DR-Vibrant
0,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
0,DR-Obsolete
1,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
1,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
1,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
1,DR-Vibrant
0,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
1,FR-Maintaining
0,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
1,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
0,DR-Obsolete
1,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
1,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
1,FR-Vibrant
0,FR-Maintaining
0,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
1,FR-Maintaining
0,FR-Obsolete
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
1,FR-Maintaining
0,FR-Obsolete
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
0,DR-Obsolete
1,DR-Growing
0,FR-Vibrant
0,FR-Maintaining
1,FR-Obsolete
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
1,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
1,DR-Obsolete
0,DR-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
1,CF-Maintaining
0,CF-Obsolete
0,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
1,DR-Maintaining
0,DR-Obsolete
0,DR-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,CF-Vibrant
0,CF-Maintaining
0,CF-Obsolete
1,CF-Growing
0,DR-Vibrant
0,DR-Maintaining
0,DR-Obsolete
1,DR-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,DR-Vibrant
0,DR-Maintaining
0,DR-Obsolete
1,DR-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
0,F-Vibrant
0,F-Maintaining
0,F-Obsolete
1,F-Growing
1,F-Vibrant
0,F-Maintaining
0,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,F-Vibrant
0,F-Maintaining
1,F-Obsolete
0,F-Growing
0,F-Vibrant
1,F-Maintaining
0,F-Obsolete
0,F-Growing